"index","owner_id","pet_id","owner_age_group","pet_type"
"0","7016","9930","18-25","Dog"
"1","5637","3040","18-25","Rabbit"
"2","5366","2381","18-25","Rabbit"
"3","7063","3936","26-35","Hamster"
"4","3803","8989","36-45","Dog"
"5","5611","627","46-55","Fish"
"6","3504","3132","66+","Rabbit"
"7","5933","9988","56-65","Rabbit"
"8","4333","3735","26-35","Cat"
"9","5820","3035","66+","Fish"
"10","130","4339","18-25","Rabbit"
"11","2979","3686","26-35","Rabbit"
"12","9136","9230","46-55","Rabbit"
"13","7880","3223","26-35","Cat"
"14","787","3612","36-45","Fish"
"15","7018","7393","18-25","Dog"
"16","4166","1001","46-55","Dog"
"17","9890","7267","56-65","Hamster"
"18","5568","6725","56-65","Dog"
"19","936","3225","26-35","Hamster"
"20","7739","4238","56-65","Cat"
"21","2818","1956","56-65","Rabbit"
"22","4954","2058","36-45","Fish"
"23","2456","6332","26-35","Rabbit"
"24","7147","9689","46-55","Rabbit"
"25","4101","9419","36-45","Hamster"
"26","9442","2178","36-45","Dog"
"27","9951","3001","26-35","Cat"
"28","659","9769","46-55","Hamster"
"29","4302","5468","46-55","Fish"
"30","8612","2549","36-45","Dog"
"31","725","7956","66+","Hamster"
"32","8562","5747","36-45","Dog"
"33","7965","1382","36-45","Dog"
"34","4983","2869","36-45","Cat"
"35","5818","5975","18-25","Cat"
"36","4944","8805","46-55","Hamster"
"37","5743","8244","66+","Fish"
"38","6652","8007","18-25","Rabbit"
"39","3723","6103","66+","Rabbit"
"40","6343","2882","56-65","Dog"
"41","576","1297","26-35","Fish"
"42","3475","850","26-35","Hamster"
"43","7642","1640","36-45","Hamster"
"44","1992","5071","18-25","Fish"
"45","7768","4583","26-35","Rabbit"
"46","3258","5062","36-45","Cat"
"47","4495","9305","18-25","Dog"
"48","4135","1585","18-25","Fish"
"49","4725","8285","18-25","Dog"
"50","7979","7818","46-55","Hamster"
"51","6043","427","66+","Rabbit"
"52","8116","9223","56-65","Cat"
"53","2797","1925","46-55","Dog"
"54","5761","7030","26-35","Rabbit"
"55","4990","9367","56-65","Hamster"
"56","1339","3088","18-25","Hamster"
"57","4929","2342","66+","Hamster"
"58","1495","9539","56-65","Dog"
"59","7003","4150","36-45","Fish"
"60","9753","4001","46-55","Hamster"
"61","4680","1906","18-25","Rabbit"
"62","9685","585","26-35","Dog"
"63","2391","8226","56-65","Rabbit"
"64","7956","579","56-65","Dog"
