"index","pet_id","visit_date","issue","resolution"
"0","9692","2022-10-09","Dental Cleaning","Cleaning done, no dental issues"
"1","9186","2022-05-15","Ear Infection","Medication and follow-up in 2 weeks for infection"
"2","2709","2023-12-24","Annual Checkup","All clear, healthy diet recommended"
"3","2513","2023-03-18","Annual Checkup","Vaccination completed, next due in 1 year"
"4","2016","2023-10-03","Dental Cleaning","Cleaning done, no dental issues"
"5","8237","2022-11-07","Annual Checkup","All clear, healthy diet recommended"
"6","8510","2023-04-12","Dental Cleaning","Cleaning done, no dental issues"
"7","8572","2023-07-23","Annual Checkup","All clear, healthy diet recommended"
"8","4761","2023-12-03","Annual Checkup","Diet adjustment recommended for weight management"
"9","1001","2023-09-21","Annual Checkup","All clear, healthy diet recommended"
"10","9900","2023-02-02","Injury","Minor surgery performed, recovery monitored"
"11","7818","2023-05-18","Annual Checkup","Diet adjustment recommended for weight management"
"12","1949","2023-01-04","Annual Checkup","Vaccination completed, next due in 1 year"
"13","6480","2023-09-26","Ear Infection","Medication and follow-up in 2 weeks for infection"
"14","4346","2023-03-25","Annual Checkup","All clear, healthy diet recommended"
"15","4734","2023-01-03","Annual Checkup","Diet adjustment recommended for weight management"
"16","694","2022-07-30","Injury","Sprain identified, rest and limited movement advised"
"17","4734","2023-11-03","Dental Cleaning","Cleaning done, no dental issues"
"18","3723","2022-08-02","Injury","Minor surgery performed, recovery monitored"
"19","8631","2022-12-24","Injury","Sprain identified, rest and limited movement advised"
"20","5334","2023-02-25","Annual Checkup","Vaccination completed, next due in 1 year"
"21","2429","2022-11-09","Dental Cleaning","Cleaning done, no dental issues"
"22","2709","2023-11-28","Dental Cleaning","Cleaning done, no dental issues"
"23","2415","2022-08-03","Annual Checkup","All clear, healthy diet recommended"
"24","4777","2023-01-16","Annual Checkup","Diet adjustment recommended for weight management"
"25","8804","2022-04-12","Injury","Sprain identified, rest and limited movement advised"
"26","1366","2023-10-08","Injury","Minor surgery performed, recovery monitored"
"27","5008","2022-06-07","Annual Checkup","All clear, healthy diet recommended"
"28","4947","2023-04-03","Annual Checkup","Vaccination completed, next due in 1 year"
"29","637","2023-02-15","Injury","Minor surgery performed, recovery monitored"
"30","6087","2023-08-06","Annual Checkup","Vaccination completed, next due in 1 year"
"31","8746","2023-01-26","Annual Checkup","All clear, healthy diet recommended"
"32","7833","2023-11-22","Annual Checkup","Diet adjustment recommended for weight management"
"33","8993","2023-06-03","Annual Checkup","Vaccination completed, next due in 1 year"
"34","5958","2022-12-31","Annual Checkup","Diet adjustment recommended for weight management"
"35","1343","2023-12-29","Dental Cleaning","Cleaning done, no dental issues"
"36","8705","2023-06-15","Annual Checkup","Vaccination completed, next due in 1 year"
"37","3885","2023-09-05","Dental Cleaning","Cleaning done, no dental issues"
"38","8353","2023-08-18","Annual Checkup","All clear, healthy diet recommended"
"39","8805","2023-09-07","Injury","Sprain identified, rest and limited movement advised"
"40","6480","2023-07-05","Injury","Sprain identified, rest and limited movement advised"
"41","4947","2023-05-14","Annual Checkup","Diet adjustment recommended for weight management"
"42","5421","2023-09-15","Ear Infection","Medication and follow-up in 2 weeks for infection"
"43","3767","2022-05-08","Dental Cleaning","Cleaning done, no dental issues"
"44","9379","2022-07-01","Dental Cleaning","Cleaning done, no dental issues"
