iter	Logloss
0	0.65538359
1	0.6261035503
2	0.5968062704
3	0.5739731052
4	0.553847124
5	0.5342495742
6	0.5216728608
7	0.5066513857
8	0.4935030246
9	0.4835920723
10	0.4742969965
11	0.4677777186
12	0.4608633322
13	0.4540221879
14	0.4490336775
15	0.4442582406
16	0.4396647521
17	0.4361551728
18	0.4327286996
19	0.4301031465
20	0.4266303908
21	0.4242399821
22	0.4220358898
23	0.4203681259
24	0.4184483533
25	0.4170376023
26	0.4149874574
27	0.4130522958
28	0.4112551142
29	0.4100189643
30	0.4087510529
31	0.4074662195
32	0.4062423344
33	0.4052406926
34	0.4045327426
35	0.4032374667
36	0.4015088701
37	0.3999426675
38	0.3990473887
39	0.3980095597
40	0.397203722
41	0.3964381503
42	0.3956473256
43	0.3946697506
44	0.3939041789
45	0.3929721923
46	0.3925210528
47	0.3921333783
48	0.3915267583
49	0.3907981547
50	0.3898952104
51	0.3890113288
52	0.3883984317
53	0.3877198423
54	0.387103069
55	0.3858444431
56	0.3852515053
57	0.3845511052
58	0.3840068221
59	0.3836463097
60	0.3830016511
61	0.3826417173
62	0.382226765
63	0.3816028468
64	0.380648095
65	0.379974047
66	0.3793330333
67	0.3788880552
68	0.3783615908
69	0.3777840131
70	0.377145082
71	0.3764332559
72	0.3759308584
73	0.3755398863
74	0.3751424057
75	0.3748428706
76	0.3739969118
77	0.3736586729
78	0.3729704509
79	0.3725256174
80	0.3719405477
81	0.3716638936
82	0.371351949
83	0.3710006352
84	0.3706408749
85	0.370081897
86	0.3697830273
87	0.3690540766
88	0.3686218551
89	0.3682767895
90	0.36754619
91	0.3669882246
92	0.3667152441
93	0.3659164067
94	0.3652212134
95	0.3643830647
96	0.3636811315
97	0.3630593829
98	0.3626087351
99	0.3620092889
100	0.3617705576
101	0.3612387418
102	0.3608871098
103	0.36028318
104	0.3599612268
105	0.3595584526
106	0.358891752
107	0.3586917534
108	0.3582483952
109	0.3579522155
110	0.3575927156
111	0.3569454247
112	0.3563672106
113	0.3561115572
114	0.3555230163
115	0.3546753219
116	0.3542368523
117	0.3536673162
118	0.353278716
119	0.3530085993
120	0.3524949783
121	0.3520651867
122	0.3517031412
123	0.3511619242
124	0.3508150363
125	0.3502129577
126	0.3498549041
127	0.3496066848
128	0.3490639926
129	0.3483968003
130	0.3478218549
131	0.3471230168
132	0.3464103229
133	0.3457837724
134	0.3452886066
135	0.3447908953
136	0.3440804287
137	0.3434316626
138	0.3429947261
139	0.3425768522
140	0.3420820914
141	0.3418002016
142	0.3413498431
143	0.3408603759
144	0.3404376134
145	0.3399190171
146	0.3394875187
147	0.3389040111
148	0.3386414731
149	0.3384033782
150	0.3379526726
151	0.3375566962
152	0.3370921637
153	0.3366829967
154	0.336043545
155	0.335615865
156	0.3350335433
157	0.3345489647
158	0.3339505598
159	0.3335203343
160	0.3330715668
161	0.3322361661
162	0.3316964823
163	0.3314168198
164	0.3309666349
165	0.3306900965
166	0.3299469717
167	0.3292698286
168	0.3288577111
169	0.3283690828
170	0.3278941367
171	0.3273915368
172	0.3267654781
173	0.3263653362
174	0.325879022
175	0.325227045
