iter	Passed	Remaining
0	3	3177
1	7	3767
2	11	3964
3	14	3487
4	17	3425
5	21	3514
6	24	3463
7	27	3459
8	30	3375
9	34	3409
10	37	3411
11	41	3385
12	48	3700
13	53	3745
14	56	3708
15	60	3739
16	63	3672
17	66	3615
18	71	3670
19	74	3645
20	80	3758
21	83	3715
22	87	3727
23	90	3682
24	94	3689
25	97	3671
26	103	3714
27	105	3671
28	109	3680
29	113	3658
30	117	3667
31	120	3637
32	123	3619
33	126	3599
34	128	3545
35	131	3533
36	136	3564
37	140	3562
38	144	3565
39	152	3665
40	156	3655
41	159	3644
42	162	3616
43	167	3645
44	171	3632
45	178	3691
46	182	3707
47	189	3761
48	192	3745
49	196	3733
50	201	3742
51	204	3730
52	207	3705
53	210	3690
54	215	3695
55	218	3678
56	221	3668
57	224	3646
58	227	3633
59	231	3626
60	234	3606
61	237	3594
62	240	3573
63	243	3560
64	247	3564
65	251	3554
66	254	3545
67	258	3538
68	262	3537
69	265	3528
70	269	3524
71	274	3534
72	277	3519
73	280	3509
74	283	3498
75	287	3499
76	291	3490
77	294	3486
78	298	3477
79	302	3475
80	305	3462
81	308	3453
82	312	3457
83	316	3450
84	320	3448
85	323	3433
86	326	3424
87	329	3418
88	334	3421
89	337	3411
90	340	3404
91	344	3402
92	347	3390
93	351	3389
94	354	3376
95	357	3368
96	360	3356
97	363	3349
98	369	3364
99	372	3353
100	376	3355
101	379	3343
102	385	3358
103	388	3350
104	392	3345
105	395	3337
106	399	3336
107	403	3329
108	406	3323
109	409	3312
110	412	3305
111	416	3303
112	419	3292
113	423	3294
114	426	3282
115	430	3280
116	433	3273
117	436	3263
118	440	3259
119	442	3248
120	447	3249
121	450	3243
122	453	3234
123	457	3231
124	460	3222
125	466	3233
126	469	3228
127	473	3226
128	476	3216
129	479	3211
130	483	3205
131	487	3206
132	490	3196
133	493	3188
134	496	3182
135	499	3175
136	503	3171
137	506	3166
138	510	3160
139	512	3151
140	516	3145
141	520	3142
142	522	3133
143	525	3125
144	529	3120
145	531	3111
146	535	3110
147	539	3103
148	543	3103
149	546	3097
150	550	3092
151	553	3088
152	556	3079
153	562	3091
154	566	3088
155	569	3082
156	572	3076
157	576	3072
158	579	3063
159	582	3060
160	585	3053
161	589	3049
162	592	3043
163	595	3034
164	598	3030
165	601	3024
166	605	3019
167	608	3015
168	611	3006
169	615	3005
170	618	2997
171	620	2989
172	624	2985
173	627	2978
174	631	2976
175	634	2972
176	639	2972
177	642	2964
178	645	2959
179	648	2955
180	651	2948
181	655	2947
182	658	2939
183	661	2932
184	664	2929
185	668	2924
186	673	2930
187	676	2923
188	680	2921
189	683	2914
190	687	2913
191	690	2906
192	693	2898
193	698	2900
194	701	2896
195	705	2893
196	708	2887
197	711	2883
198	714	2876
199	717	2871
200	721	2868
201	724	2863
202	728	2861
203	732	2857
204	736	2856
205	739	2851
206	743	2848
207	746	2841
208	749	2836
209	753	2834
210	756	2829
211	760	2826
212	763	2821
213	766	2815
214	770	2814
215	773	2807
216	776	2803
217	780	2799
218	784	2797
219	787	2793
220	790	2787
221	794	2785
222	798	2781
223	800	2774
224	804	2770
225	808	2768
226	812	2766
227	816	2764
228	819	2758
229	823	2755
230	826	2751
231	829	2744
232	832	2741
233	835	2736
234	839	2732
235	842	2726
236	844	2719
237	848	2718
238	852	2713
239	855	2709
240	859	2705
241	862	2701
242	867	2702
243	870	2697
244	874	2693
245	876	2687
246	880	2684
247	883	2679
248	886	2674
249	890	2670
250	894	2667
251	897	2663
252	900	2659
253	904	2655
254	907	2651
255	911	2649
256	914	2643
257	917	2639
258	921	2635
259	924	2631
260	928	2628
261	931	2624
262	936	2623
263	939	2618
264	943	2616
265	946	2612
266	950	2608
267	954	2606
268	956	2600
269	962	2602
270	965	2596
271	969	2593
272	971	2587
273	975	2584
274	978	2580
275	982	2577
276	986	2573
277	988	2568
278	992	2565
279	995	2559
280	998	2555
281	1001	2549
282	1004	2544
283	1008	2541
284	1011	2537
285	1015	2534
286	1018	2529
287	1021	2526
288	1025	2522
289	1028	2517
290	1031	2514
291	1034	2508
292	1038	2505
293	1041	2501
294	1044	2496
295	1048	2494
296	1052	2490
297	1055	2487
298	1059	2484
299	1063	2480
300	1067	2477
301	1070	2474
302	1073	2470
303	1076	2464
304	1080	2462
305	1084	2458
306	1087	2455
307	1090	2450
308	1093	2445
309	1097	2442
310	1100	2438
311	1104	2434
312	1107	2430
313	1111	2428
314	1114	2424
315	1119	2422
316	1122	2418
317	1125	2414
318	1129	2411
319	1132	2406
320	1136	2403
321	1138	2397
322	1141	2393
323	1145	2388
324	1148	2385
325	1154	2386
326	1157	2381
327	1161	2378
328	1163	2373
329	1167	2370
330	1170	2366
331	1174	2362
332	1178	2359
333	1182	2357
334	1185	2354
335	1190	2351
336	1193	2348
337	1196	2344
338	1200	2340
339	1203	2336
340	1207	2333
341	1210	2329
342	1213	2324
343	1217	2322
344	1221	2318
345	1225	2315
346	1228	2311
347	1232	2309
348	1235	2305
349	1240	2302
350	1242	2297
351	1246	2293
352	1250	2292
353	1254	2289
354	1258	2285
355	1261	2282
356	1265	2278
357	1267	2273
358	1270	2268
359	1275	2267
360	1278	2262
361	1281	2258
362	1284	2254
363	1289	2252
364	1292	2248
365	1296	2246
366	1299	2242
367	1302	2237
368	1306	2233
369	1309	2229
370	1313	2226
371	1315	2221
372	1319	2217
373	1323	2214
374	1326	2210
375	1329	2206
376	1332	2202
377	1336	2198
378	1338	2193
379	1341	2189
380	1345	2186
381	1349	2184
382	1354	2181
383	1357	2177
384	1360	2174
385	1364	2170
386	1367	2166
387	1371	2163
388	1374	2159
389	1379	2158
390	1383	2154
391	1386	2150
392	1389	2145
393	1392	2141
394	1395	2137
395	1398	2132
396	1402	2129
397	1404	2125
398	1408	2121
399	1410	2116
400	1413	2111
401	1417	2108
402	1419	2103
403	1422	2099
404	1426	2096
405	1429	2091
406	1434	2089
407	1436	2084
408	1440	2081
409	1445	2079
410	1447	2075
411	1451	2071
412	1454	2067
413	1458	2064
414	1461	2059
415	1464	2056
416	1468	2052
417	1471	2048
418	1475	2045
419	1478	2041
420	1482	2039
421	1485	2035
422	1489	2032
423	1492	2027
424	1495	2023
425	1498	2019
426	1502	2015
427	1506	2013
428	1509	2008
429	1512	2004
430	1515	2001
431	1518	1997
432	1522	1993
433	1525	1989
434	1528	1985
435	1531	1981
436	1535	1977
437	1539	1974
438	1542	1971
439	1546	1968
440	1549	1964
441	1552	1960
442	1555	1955
443	1558	1952
444	1563	1949
445	1566	1945
446	1570	1942
447	1573	1938
448	1576	1934
449	1580	1931
450	1583	1927
451	1587	1924
452	1590	1920
453	1593	1916
454	1597	1913
455	1601	1911
456	1604	1906
457	1607	1902
458	1611	1899
459	1614	1895
460	1618	1892
461	1622	1888
462	1624	1884
463	1628	1880
464	1631	1876
465	1637	1876
466	1639	1871
467	1643	1867
468	1646	1863
469	1649	1860
470	1653	1856
471	1656	1853
472	1660	1850
473	1663	1846
474	1668	1843
475	1671	1839
476	1674	1836
477	1678	1832
478	1682	1829
479	1685	1825
480	1688	1821
481	1691	1817
482	1694	1814
483	1698	1810
484	1701	1807
485	1704	1802
486	1708	1799
487	1711	1795
488	1715	1792
489	1718	1788
490	1720	1783
491	1724	1780
492	1727	1776
493	1736	1778
494	1741	1777
495	1745	1773
496	1749	1770
497	1753	1767
498	1758	1765
499	1762	1762
500	1766	1759
501	1771	1757
502	1775	1754
503	1780	1752
504	1783	1748
505	1787	1745
506	1790	1741
507	1794	1737
508	1798	1734
509	1800	1730
510	1804	1727
511	1808	1723
512	1811	1720
513	1814	1715
514	1818	1712
515	1821	1708
516	1824	1704
517	1830	1703
518	1833	1699
519	1837	1696
520	1840	1692
521	1844	1689
522	1847	1685
523	1850	1681
524	1854	1677
525	1857	1673
526	1861	1670
527	1865	1667
528	1869	1664
529	1872	1660
530	1877	1657
531	1880	1654
532	1883	1650
533	1886	1646
534	1889	1642
535	1893	1639
536	1896	1635
537	1900	1632
538	1904	1628
539	1908	1625
540	1911	1621
541	1914	1617
542	1918	1614
543	1922	1611
544	1928	1609
545	1931	1605
546	1934	1602
547	1937	1598
548	1941	1594
549	1944	1590
550	1947	1587
551	1951	1583
552	1954	1580
553	1958	1576
554	1961	1572
555	1965	1569
556	1968	1565
557	1972	1562
558	1975	1558
559	1978	1554
560	1982	1551
561	1985	1547
562	1990	1544
563	1993	1541
564	1997	1537
565	2000	1534
566	2003	1529
567	2006	1526
568	2009	1522
569	2013	1519
570	2016	1515
571	2020	1511
572	2024	1508
573	2028	1505
574	2031	1501
575	2035	1498
576	2038	1494
577	2041	1490
578	2045	1487
579	2048	1483
580	2052	1480
581	2055	1476
582	2058	1472
583	2062	1468
584	2064	1464
585	2068	1461
586	2071	1457
587	2074	1453
588	2079	1450
589	2084	1448
590	2086	1444
591	2089	1440
592	2093	1436
593	2096	1433
594	2099	1429
595	2102	1425
596	2105	1421
597	2109	1418
598	2112	1414
599	2116	1411
600	2120	1407
601	2123	1403
602	2126	1400
603	2129	1396
604	2135	1394
605	2139	1390
606	2143	1387
607	2146	1384
608	2150	1380
609	2153	1376
610	2158	1374
611	2161	1370
612	2164	1366
613	2168	1363
614	2171	1359
615	2175	1356
616	2178	1352
617	2182	1349
618	2185	1345
619	2189	1341
620	2192	1337
621	2195	1334
622	2198	1330
623	2202	1326
624	2205	1323
625	2208	1319
626	2211	1315
627	2214	1311
628	2217	1307
629	2220	1304
630	2223	1300
631	2227	1296
632	2231	1293
633	2234	1290
634	2238	1286
635	2241	1283
636	2245	1279
637	2248	1275
